"b" , "c" , "year" , "r" , "r_s" , "f"
"52" , 41547.6372116845 , 22290.5086199998 , 52 , 0.650860289630779 , -0.00596524264779873 , 0.532283452479169
"53" , 41214.8550079479 , 22115.1197773874 , 53 , 0.645280105216834 , -0.00596524264779873 , 0.532283452479169
"54" , 40878.7576088207 , 21937.9853170589 , 54 , 0.639699920802888 , -0.00596524264779873 , 0.532283452479169
"55" , 40539.3093592435 , 21759.0862330822 , 55 , 0.634119736388943 , -0.00596524264779873 , 0.532283452479169
"56" , 40196.4746966352 , 21578.4035468592 , 56 , 0.628539551974998 , -0.00596524264779873 , 0.532283452479169
"57" , 39850.2181953737 , 21395.9183290165 , 57 , 0.622959367561053 , -0.00596524264779873 , 0.532283452479169
"58" , 39500.504614864 , 21211.6117230817 , 58 , 0.617379183147108 , -0.00596524264779873 , 0.532283452479169
"59" , 39147.2989514427 , 21025.4649710692 , 59 , 0.611798998733163 , -0.00596524264779873 , 0.532283452479169
"60" , 38790.5664943816 , 20837.459441108 , 60 , 0.606218814319217 , -0.00596524264779873 , 0.532283452479169
"61" , 38430.2728862754 , 20647.5766572522 , 61 , 0.600638629905272 , -0.00596524264779873 , 0.532283452479169
"62" , 38066.3841881115 , 20455.7983316233 , 62 , 0.595058445491327 , -0.00596524264779873 , 0.532283452479169
"63" , 37698.8669493429 , 20262.1063990464 , 63 , 0.589478261077382 , -0.00596524264779873 , 0.532283452479169
"64" , 37327.6882833056 , 20066.4830543491 , 64 , 0.583898076663437 , -0.00596524264779873 , 0.532283452479169
"65" , 36952.8159483424 , 19868.9107925041 , 65 , 0.578317892249491 , -0.00596524264779873 , 0.532283452479169
"66" , 36574.2184350194 , 19669.372451811 , 66 , 0.572737707835546 , -0.00596524264779873 , 0.532283452479169
"67" , 36191.8650598465 , 19467.8512603194 , 67 , 0.567157523421601 , -0.00596524264779873 , 0.532283452479169
"68" , 35805.7260659367 , 19264.3308857153 , 68 , 0.561577339007656 , -0.00596524264779873 , 0.532283452479169
"69" , 35415.7727310698 , 19058.7954889002 , 69 , 0.555997154593711 , -0.00596524264779873 , 0.532283452479169
"70" , 35021.977483651 , 18851.2297815114 , 70 , 0.550416970179766 , -0.00596524264779873 , 0.532283452479169
"71" , 34624.3140270889 , 18641.6190876455 , 71 , 0.54483678576582 , -0.00596524264779873 , 0.532283452479169
"72" , 34222.7574731443 , 18429.9494100618 , 72 , 0.539256601351875 , -0.00596524264779873 , 0.532283452479169
"73" , 33817.2844848398 , 18216.2075011625 , 73 , 0.53367641693793 , -0.00596524264779873 , 0.532283452479169
"74" , 33407.8734295489 , 18000.3809390608 , 74 , 0.528096232523985 , -0.00596524264779873 , 0.532283452479169
"75" , 32994.5045429239 , 17782.4582090674 , 75 , 0.52251604811004 , -0.00596524264779873 , 0.532283452479169
"76" , 32577.1601043559 , 17562.4287909471 , 76 , 0.516935863696094 , -0.00596524264779873 , 0.532283452479169
"77" , 32155.8246247 , 17340.2832523132 , 77 , 0.511355679282149 , -0.00596524264779873 , 0.532283452479169
"78" , 31730.485047038 , 17116.01334855 , 78 , 0.505775494868204 , -0.00596524264779873 , 0.532283452479169
"79" , 31301.1309612913 , 16889.612129676 , 79 , 0.500195310454259 , -0.00596524264779873 , 0.532283452479169
"80" , 30867.7548335378 , 16661.0740545788 , 80 , 0.494615126040314 , -0.00596524264779873 , 0.532283452479169
"81" , 30430.3522509279 , 16430.3951130761 , 81 , 0.489034941626369 , -0.00596524264779873 , 0.532283452479169
"82" , 29988.9221831376 , 16197.5729562812 , 82 , 0.483454757212423 , -0.00596524264779873 , 0.532283452479169
"83" , 29543.467261336 , 15962.6070357696 , 83 , 0.477874572798478 , -0.00596524264779873 , 0.532283452479169
"84" , 29093.9940756872 , 15725.4987520692 , 84 , 0.472294388384533 , -0.00596524264779873 , 0.532283452479169
"85" , 28640.5134924439 , 15486.2516130152 , 85 , 0.466714203970588 , -0.00596524264779873 , 0.532283452479169
"86" , 28183.0409917285 , 15244.8714025343 , 86 , 0.461134019556643 , -0.00596524264779873 , 0.532283452479169
"87" , 27721.5970271283 , 15001.3663604392 , 87 , 0.455553835142697 , -0.00596524264779873 , 0.532283452479169
"88" , 27256.2074082656 , 14755.7473738361 , 88 , 0.449973650728752 , -0.00596524264779873 , 0.532283452479169
"89" , 26786.9037075219 , 14508.0281807599 , 89 , 0.444393466314807 , -0.00596524264779873 , 0.532283452479169
"90" , 26313.7236921163 , 14258.2255866668 , 90 , 0.438813281900862 , -0.00596524264779873 , 0.532283452479169
"91" , 25836.7117827455 , 14006.3596944226 , 91 , 0.433233097486917 , -0.00596524264779873 , 0.532283452479169
"92" , 25355.9195399881 , 13752.454148429 , 92 , 0.427652913072972 , -0.00596524264779873 , 0.532283452479169
"93" , 24871.4061796628 , 13496.5363935289 , 93 , 0.422072728659026 , -0.00596524264779873 , 0.532283452479169
"94" , 24383.2391182955 , 13238.6379493226 , 94 , 0.416492544245081 , -0.00596524264779873 , 0.532283452479169
"95" , 23891.4945498006 , 12978.7947005115 , 95 , 0.410912359831136 , -0.00596524264779873 , 0.532283452479169
"96" , 23396.2580544048 , 12717.0472038551 , 96 , 0.405332175417191 , -0.00596524264779873 , 0.532283452479169
"97" , 22897.6252407421 , 12453.4410122922 , 97 , 0.399751991003246 , -0.00596524264779873 , 0.532283452479169
"98" , 22395.702421912 , 12188.0270167164 , 98 , 0.3941718065893 , -0.00596524264779873 , 0.532283452479169
"99" , 21890.6073261192 , 11920.8618058314 , 99 , 0.388591622175355 , -0.00596524264779873 , 0.532283452479169
"100" , 21382.4698422984 , 11652.0080444125 , 100 , 0.38301143776141 , -0.00596524264779873 , 0.532283452479169
