"b","c","year","f","f_ratio","f_ratio_err","id","r_0","error","hcr","b_0"
5110.01280192167,1330.13105507425,26,0.260298967269523,0.780896901808569,0.655206042333955,36,0.4,0.3,0.75,6000
5064.04682652094,1318.1661591479,27,0.260298967269523,0.780896901808569,0.655206042333955,36,0.4,0.3,0.75,6000
5034.48345967426,1310.47084528871,28,0.260298967269523,0.780896901808569,0.655206042333955,36,0.4,0.3,0.75,6000
5015.37727467226,1305.49752506422,29,0.260298967269523,0.780896901808569,0.655206042333955,36,0.4,0.3,0.75,6000
5002.99072493404,1367.3869849073,30,0.273313915632999,0.780896901808569,0.726587772889119,36,0.4,0.3,0.75,6000
4929.83059777479,1347.3913040852,31,0.273313915632999,0.819941746898997,0.726587772889119,36,0.4,0.3,0.75,6000
4882.99476600898,1334.59041951335,32,0.273313915632999,0.819941746898997,0.726587772889119,36,0.4,0.3,0.75,6000
4852.77410569498,1326.33069250992,33,0.273313915632999,0.819941746898997,0.726587772889119,36,0.4,0.3,0.75,6000
4833.17524821251,1320.97405202945,34,0.273313915632999,0.819941746898997,0.726587772889119,36,0.4,0.3,0.75,6000
4820.42313317617,1383.36315761308,35,0.286979611414649,0.819941746898997,0.672830052750262,36,0.4,0.3,0.75,6000
4746.23374995973,1362.07231724653,36,0.286979611414649,0.860938834243947,0.672830052750262,36,0.4,0.3,0.75,6000
4698.59433494652,1348.40077643802,37,0.286979611414649,0.860938834243947,0.672830052750262,36,0.4,0.3,0.75,6000
4667.75104771925,1339.54938185479,38,0.286979611414649,0.860938834243947,0.672830052750262,36,0.4,0.3,0.75,6000
4647.67590400678,1333.78822491309,39,0.286979611414649,0.860938834243947,0.672830052750262,36,0.4,0.3,0.75,6000
4634.5643806487,1396.52675928648,40,0.301328591985381,0.860938834243947,0.657319276048971,36,0.4,0.3,0.75,6000
4559.48040921891,1373.90181189487,41,0.301328591985381,0.903985775956144,0.657319276048971,36,0.4,0.3,0.75,6000
4511.11333645542,1359.32742996059,42,0.301328591985381,0.903985775956144,0.657319276048971,36,0.4,0.3,0.75,6000
4479.68837265031,1349.858189864,43,0.301328591985381,0.903985775956144,0.657319276048971,36,0.4,0.3,0.75,6000
4459.15734923684,1343.6716054868,44,0.301328591985381,0.903985775956144,0.657319276048971,36,0.4,0.3,0.75,6000
4445.6950781079,1406.59579019673,45,0.316395021584651,0.903985775956144,0.745287614695849,36,0.4,0.3,0.75,6000
4369.8661153924,1382.60388390161,46,0.316395021584651,0.949185064753952,0.745287614695849,36,0.4,0.3,0.75,6000
4320.85726349543,1367.09772714783,47,0.316395021584651,0.949185064753952,0.745287614695849,36,0.4,0.3,0.75,6000
4288.89817134854,1356.98602949819,48,0.316395021584651,0.949185064753952,0.745287614695849,36,0.4,0.3,0.75,6000
4267.93597579429,1350.35369518334,49,0.316395021584651,0.949185064753952,0.745287614695849,36,0.4,0.3,0.75,6000
4254.13434988227,1009.49019709125,50,0.237296266188488,0.949185064753952,1.14804356461024,36,0.4,0.3,0.75,6000
4581.52126932899,1087.17789067491,51,0.237296266188488,0.711888798565464,1.14804356461024,36,0.4,0.3,0.75,6000
4818.72922526809,1143.46645292946,52,0.237296266188488,0.711888798565464,1.14804356461024,36,0.4,0.3,0.75,6000
4984.56193037437,1182.81793466312,53,0.237296266188488,0.711888798565464,1.14804356461024,36,0.4,0.3,0.75,6000
5097.60734466243,1209.64318938341,54,0.237296266188488,0.711888798565464,1.14804356461024,36,0.4,0.3,0.75,6000
5173.34404937888,1288.99598795734,55,0.249161079497912,0.711888798565464,0.450846114918029,36,0.4,0.3,0.75,6000
5162.11492883484,1286.19812816078,56,0.249161079497912,0.747483238493737,0.450846114918029,36,0.4,0.3,0.75,6000
5154.84200266498,1284.38599802519,57,0.249161079497912,0.747483238493737,0.450846114918029,36,0.4,0.3,0.75,6000
5150.12596175069,1283.21094418003,58,0.249161079497912,0.747483238493737,0.450846114918029,36,0.4,0.3,0.75,6000
5147.06559675012,1282.44842033283,59,0.249161079497912,0.747483238493737,0.450846114918029,36,0.4,0.3,0.75,6000
5145.07867298542,1346.05102407587,60,0.261619133472808,0.747483238493737,0.677898872872021,36,0.4,0.3,0.75,6000
5079.69059731294,1328.94425237898,61,0.261619133472808,0.784857400418424,0.677898872872021,36,0.4,0.3,0.75,6000
5037.85839140848,1318.000146919,62,0.261619133472808,0.784857400418424,0.677898872872021,36,0.4,0.3,0.75,6000
5010.9112786199,1310.95026662166,63,0.261619133472808,0.784857400418424,0.677898872872021,36,0.4,0.3,0.75,6000
4993.47579684693,1306.38881098853,64,0.261619133472808,0.784857400418424,0.677898872872021,36,0.4,0.3,0.75,6000
4982.16232427493,977.571742573258,65,0.196214350104606,0.784857400418424,1.11433020234417,36,0.4,0.3,0.75,6000
5300.66492566486,1040.06652351161,66,0.196214350104606,0.588643050313818,1.11433020234417,36,0.4,0.3,0.75,6000
5524.51849124414,1083.98980540035,67,0.196214350104606,0.588643050313818,1.11433020234417,36,0.4,0.3,0.75,6000
5676.98334020394,1113.90559665279,68,0.196214350104606,0.588643050313818,1.11433020234417,36,0.4,0.3,0.75,6000
5778.60432994093,1133.84509311102,69,0.196214350104606,0.588643050313818,1.11433020234417,36,0.4,0.3,0.75,6000
5845.35971432149,1204.2906303469,70,0.206025067609836,0.588643050313818,0.611612361610075,36,0.4,0.3,0.75,6000
5831.44550238646,1201.42395389225,71,0.206025067609836,0.618075202829509,0.611612361610075,36,0.4,0.3,0.75,6000
5822.55624113855,1199.59254324264,72,0.206025067609836,0.618075202829509,0.611612361610075,36,0.4,0.3,0.75,6000
